",stockTicker,action,date,firm,fromGrade,toGrade"
"0,FLWS,down,2017-12-26,Northcoast Research,Buy,Neutral"
"1,FLWS,init,2017-06-14,DA Davidson,,Neutral"
"2,FLWS,main,2016-01-29,B. Riley,,Buy"
"3,FLWS,up,2015-04-28,Sidoti & Co.,,Buy"
"4,FLWS,init,2015-03-12,B. Riley,,Buy"
"5,FLWS,main,2014-10-29,Benchmark,,Buy"
"6,FLWS,down,2014-10-14,Noble Financial Group,,Hold"
"7,FLWS,main,2014-10-06,Benchmark,,Buy"
"8,FLWS,up,2014-09-02,Northcoast Research,,Buy"
"9,FLWS,up,2013-10-01,Brean Capital,,Buy"
"10,FLWS,main,2013-07-10,Benchmark,,Buy"
"11,FLWS,init,2012-06-21,Benchmark,,Buy"
"0,FCCY,init,2017-09-01,DA Davidson,,Neutral"
"1,FCCY,down,2016-01-07,Raymond James,,Market Perform"
"0,SRCE,init,2016-07-21,DA Davidson,,Neutral"
"1,SRCE,init,2015-02-26,DA Davidson,,Neutral"
"2,SRCE,init,2013-10-10,Keefe Bruyette & Woods,,Market Perform"
"0,VNET,up,2017-10-04,Morgan Stanley,Equal-Weight,Overweight"
"1,VNET,down,2016-08-17,JP Morgan,,Underweight"
"2,VNET,down,2015-08-28,Pacific Crest,,Sector Weight"
"3,VNET,down,2014-11-26,Stifel Nicolaus,,Hold"
"4,VNET,down,2014-11-26,Canaccord Genuity,,Hold"
"5,VNET,main,2014-11-21,Stifel Nicolaus,,Buy"
"6,VNET,init,2014-09-15,CLSA,,Buy"
"7,VNET,init,2014-09-10,Stifel Nicolaus,,Buy"
"8,VNET,main,2014-08-28,Canaccord Genuity,,Buy"
"9,VNET,up,2014-03-18,Credit Suisse,,Outperform"
"10,VNET,down,2014-02-10,Credit Suisse,,Neutral"
"11,VNET,down,2014-02-07,Credit Suisse,,Neutral"
"12,VNET,down,2013-11-26,Pacific Crest,,Sector Perform"
"13,VNET,up,2013-11-06,JP Morgan,,Overweight"
"14,VNET,main,2013-08-21,Stifel Nicolaus,,Buy"
"15,VNET,init,2013-03-11,Credit Suisse,,Outperform"
"16,VNET,down,2013-03-07,JP Morgan,,Neutral"
"17,VNET,down,2013-03-07,JP Morgan,,Neutral"
"18,VNET,main,2013-03-06,PiperJaffray,,Overweight"
"19,VNET,main,2012-11-19,PiperJaffray,,Overweight"
"20,VNET,main,2012-08-17,PiperJaffray,,Overweight"
"21,VNET,init,2012-07-18,Canaccord Genuity,,Buy"
"22,VNET,init,2012-03-09,Stifel Nicolaus,,Buy"
"0,TWOU,init,2017-12-07,Macquarie,,Outperform"
"1,TWOU,main,2017-11-20,Citigroup,,Buy"
"2,TWOU,main,2017-11-08,Oppenheimer,,Outperform"
"3,TWOU,main,2017-11-08,Credit Suisse,,Outperform"
"4,TWOU,main,2017-11-08,BMO Capital,,Outperform"
"5,TWOU,main,2017-08-08,Baird,,Outperform"
"6,TWOU,main,2017-08-08,Credit Suisse,,Outperform"
"7,TWOU,init,2017-07-18,Citigroup,,Buy"
"8,TWOU,main,2016-08-05,Oppenheimer,,Outperform"
"9,TWOU,init,2016-07-15,Needham,,Buy"
"10,TWOU,main,2016-02-26,Oppenheimer,,Outperform"
"11,TWOU,main,2015-10-27,Oppenheimer,,Outperform"
"12,TWOU,main,2015-08-13,Oppenheimer,,Overweight"
"13,TWOU,main,2015-07-15,Pacific Crest,,Overweight"
"14,TWOU,init,2015-07-15,Baird,,Outperform"
"15,TWOU,main,2015-06-26,BMO Capital,,Outperform"
"16,TWOU,main,2015-05-08,Pacific Crest,,Overweight"
"17,TWOU,main,2015-04-01,Oppenheimer,,Outperform"
"18,TWOU,main,2015-02-27,Pacific Crest,,Outperform"
"19,TWOU,main,2014-11-05,Barrington Research,,Outperform"
"20,TWOU,main,2014-11-05,Compass Point,,Buy"
"21,TWOU,init,2014-10-10,Pacific Crest,,Outperform"
"22,TWOU,down,2014-08-11,Goldman Sachs,,Neutral"
"23,TWOU,init,2014-07-25,Barrington Research,,Outperform"
"24,TWOU,init,2014-04-22,Needham,,Buy"
"25,TWOU,init,2014-04-22,Pacific Crest,,Outperform"
"26,TWOU,init,2014-04-22,Oppenheimer,,Outperform"
"27,TWOU,init,2014-04-22,Goldman Sachs,,Buy"
"28,TWOU,init,2014-04-22,Credit Suisse,,Outperform"
"29,TWOU,init,2014-04-21,Compass Point,,Buy"
"0,JOBS,down,2015-11-12,Citigroup,,Neutral"
"1,JOBS,main,2015-08-12,Macquarie,,Neutral"
"2,JOBS,init,2015-06-19,Citigroup,,Buy"
"3,JOBS,main,2014-11-11,Macquarie,,Neutral"
"4,JOBS,main,2014-08-13,Macquarie,,Neutral"
"5,JOBS,down,2014-05-09,William Blair,,Market Perform"
"6,JOBS,main,2014-02-21,Morgan Stanley,,Underweight"
"7,JOBS,down,2013-11-07,Morgan Stanley,,Underweight"
"8,JOBS,main,2013-05-10,Morgan Stanley,,Overweight"
